 outliers, %  average_A  average_B  E(da)  E(db)  D(da)  D(db)
        0.00       2.03       1.78   0.25   0.32   0.04   0.05
        1.25       2.03       1.81   0.26   0.34   0.04   0.10
        2.50       2.07       1.88   0.28   0.40   0.04   0.20
        3.75       2.09       1.96   0.28   0.43   0.05   0.25
        5.00       2.11       1.94   0.30   0.47   0.05   0.31
        6.25       2.15       1.99   0.31   0.49   0.06   0.35
        7.50       2.15       2.09   0.32   0.56   0.06   0.50
        8.75       2.19       2.11   0.33   0.59   0.07   0.56
       10.00       2.23       2.18   0.35   0.66   0.07   0.64
       11.25       2.25       2.23   0.38   0.72   0.08   0.76
       12.50       2.29       2.28   0.40   0.74   0.09   0.79
       13.75       2.32       2.28   0.43   0.78   0.10   0.78
       15.00       2.35       2.36   0.44   0.85   0.11   0.97
       16.25       2.37       2.46   0.45   0.89   0.12   1.09
       17.50       2.40       2.42   0.48   0.89   0.12   1.04
       18.75       2.42       2.52   0.49   0.96   0.13   1.33
       20.00       2.44       2.52   0.50   0.98   0.16   1.25
       21.25       2.48       2.58   0.55   1.04   0.15   1.44
       22.50       2.53       2.57   0.58   1.05   0.18   1.28
       23.75       2.56       2.59   0.62   1.07   0.18   1.28
       25.00       2.59       2.71   0.64   1.19   0.20   1.61
